disease_name	disease_id	1049-953_cmpd_diff	1150-1049_cmpd_diff	1250-1150_cmpd_diff	1350-1250_cmpd_diff	1450-1350_cmpd_diff	1550-1450_cmpd_diff	1650-1550_cmpd_diff	1750-1650_cmpd_diff	1852-1750_cmpd_diff	1950-1852_cmpd_diff	2050-1950_cmpd_diff	2150-2050_cmpd_diff	2250-2150_cmpd_diff	2294-2250_cmpd_diff	1049-953_top10_diff	1150-1049_top10_diff	1250-1150_top10_diff	1350-1250_top10_diff	1450-1350_top10_diff	1550-1450_top10_diff	1650-1550_top10_diff	1750-1650_top10_diff	1852-1750_top10_diff	1950-1852_top10_diff	2050-1950_top10_diff	2150-2050_top10_diff	2250-2150_top10_diff	2294-2250_top10_diff
Myocardial Reperfusion Injury	MESH:D015428	0	2	3	6	3	2	2	2	3	5	2	0	2	0	0	0	15.3	-4.8	12.2	-1.9	6.1	1.6	0.5	4.3	0.9	0	0.8	-2.5
Psychomotor Agitation	MESH:D011595	1	0	3	5	2	9	5	3	3	1	2	0	1	0	0	0	0	14.2	-1.7	31.5	-0.7	-0.9	2	-1.2	2.9	0	3.9	0
Diabetes Mellitus, Experimental	MESH:D003921	1	1	4	4	2	3	2	3	1	2	2	2	0	0	-2.7	-2.4	3.5	-6.4	5.6	3.2	4.1	-7	-1.1	9.2	-2.3	5.4	0	0
Neuralgia	MESH:D009437	0	1	2	10	2	4	4	4	2	0	3	0	0	0	0	0	0	25	-2.3	0.3	0.3	6.1	1.1	-2.8	-4.7	0	0	0
Ischemia	MESH:D007511	0	5	2	4	1	4	3	1	6	2	0	1	2	0	0	25.9	-11.8	-5.6	-1	5	8.3	-1.2	3.1	3.6	0	-1	3.2	0
Colitis	MESH:D003092	0	1	3	4	1	2	2	2	1	0	3	2	3	1	0	-0.48	-1.11	3.54	8.21	-9.3	-0.6	6.3	-0.4	0	4.8	-3.9	4.2	-3.1
Coronary Artery Disease	MESH:D003324	1	5	5	4	4	2	2	3	5	2	1	1	0	0	0	33.3	9.5	1.6	10.1	-4.5	-7.7	5.9	-1.2	5.7	-1.4	-1.3	-2.7	0
HIV Infections	MESH:D015658	0	1	2	1	3	1	3	4	2	5	6	2	2	0	0	0	25	-2.8	19.4	-3.2	-0.9	12.5	0	-9.3	4.7	3.1	-2.6	0
Skin Neoplasms	MESH:D012878	1	3	2	2	0	0	1	1	2	2	5	2	3	0	-3.3	-7.6	-3.7	-3	0	0	3.3	-5.8	10	-2.7	-5.2	1.3	3	0
Shock, Septic	MESH:D012772	1	0	4	4	3	4	6	1	3	1	1	2	1	1	-3.4	0	3.4	1.4	-9.7	12.1	-1.6	-4.4	4.7	-0.7	-0.6	4.5	-0.7	2
Peripheral Nervous System Diseases	MESH:D010523	1	4	6	3	2	0	4	0	2	2	1	1	3	0	-1.4	11.9	29.6	-11.7	0.7	-4.1	-5.4	0	-2.1	-1.9	-0.9	-0.8	-4.8	0
Nervous System Diseases	MESH:D009422	1	1	7	2	3	2	3	0	3	1	2	2	1	0	-2.2	-1.9	-7	8.9	1.7	6.3	0.5	-3.5	-2.5	-0.7	-1.3	4.5	-0.7	0
Pulmonary Fibrosis	MESH:D011658	1	0	0	1	3	2	2	7	3	3	4	2	1	0	0	0	0	0	8.33	20.17	2.7	3.5	-0.1	13.6	-8.9	-2.2	1.7	0
Osteoarthritis	MESH:D010003	1	3	4	5	2	4	2	1	1	1	0	2	0	0	3.6	0.6	8	1.7	2.1	-3.6	8.2	-2.5	-2.4	0.7	0	-1.4	-2.8	0
Lymphoma, Non-Hodgkin	MESH:D008228		4	1	2	2	1	1	9	1	4	3	0	5	0		0	25	-5	5	-9.7	13.2	14.9	6.6	3.5	7.7	0	-0.1	0
Erectile Dysfunction	MESH:D007172	1	2	5	5	0	2	2	2	3	5	2	1	2	0	0	0	0	0	0	10.5	8.5	7	-3	2.8	10.5	-4	9.3	0
Sepsis	MESH:D018805	0	3	2	2	3	4	0	3	4	1	0	4	0	0	0	22.2	-2.4	-8	6.9	-6.6	0	1.1	-1	4.6	0	1.6	0	-5.7
Hypokinesia	MESH:D018476	0	2	2	6	1	1	4	2	0	2	1	2	3	0	0	1	-14.7	11.4	-2.1	-2	-6	8.7	0	0.6	2	6.7	-4.3	0
Nausea	MESH:D009325		1	3	1	2	3	6	5	6	3	0	0	1	1		0	0	0	20	10.7	27.1	-12	10.8	-8.2	0	0	-1.4	-1.3
Muscular Diseases	MESH:D009135	2	1	5	4	2	2	4	4	2	1	1	2	2	1	0	0	0	0	12.5	9.7	5	11.2	4.4	-1.5	-1.3	-5.7	-4.9	2
Lymphoma	MESH:D008223	0	2	1	1	1	2	1	10	1	2	7	1	3	0	0	0	0	33.3	-4.8	-6.3	-2.2	20	-2	5.4	-0.1	-1.4	2.2	0
Liver Neoplasms, Experimental	MESH:D008114	1	1	5	2	0	0	3	1	2	3	2	2	1	1	-1.9	-1.5	12.8	-3.1	0	0	5.5	-1.4	-2.4	7.7	-2.4	1	-1	-1
Cystitis	MESH:D003556	0	2	3	3	3	5	0	4	2	1	0	1	0	0	0	0	6.66	9.94	7.2	3.1	0	-0.3	4.6	5.1	0	1.9	-3	-2.9
Acute Lung Injury	MESH:D055371	1	0	2	1	2	4	0	2	0	2	4	2	1	0	-3.2	0	1.6	-2.5	-4.2	7.6	0	0.7	0	12.2	-7.2	-2.9	1.7	0
Dyslipidemias	MESH:D050171	1	0	3	3	3	2	1	4	1	2	1	2	0	0	16.3	0	13.7	-8.9	3.9	0.4	-2	1	-1.6	10.5	-1.7	-3.2	0	0
Psychoses, Substance-Induced	MESH:D011605	1	1	3	4	1	7	4	0	2	0	2	2	0	1	33.3	9.5	-12.8	-8.6	-1.4	25.4	8.4	0	-0.3	0	-0.2	2.9	0	-1.7
Catatonia	MESH:D002389	0	0	3	6	1	5	2	3	0	2	2	1	4	0	0	0	0	15.3	13.2	18.8	-9.3	3.6	-4.1	4.8	7.7	1.7	-6.3	0
Dyskinesias	MESH:D020820	1	1	1	8	2	1	5	2	1	2	0	1	3	1	0	0	0	0	0	11.7	1.9	7.2	-4.8	-1.2	-3.7	-0.4	-1.03	-0.3
Glomerulosclerosis, Focal Segmental	MESH:D005923	0	0	1	8	2	1	2	5	4	2	2	1	0	1	0	0	0	0	0	13.3	4.3	5.1	-3.5	9.3	8.1	-1.2	0	-1.1
Escherichia coli Infections	MESH:D004927	1	1	1	1	3	2	1	3	2	3	4	3	0	1	-9.5	17.9	2.7	-7.7	-0.8	-2.6	-4.1	11.1	2.5	-1.1	0	-0.9	0	0.9
Autistic Disorder	MESH:D001321	0	1	4	3	2	2	2	2	2	1	2	4	2	1	0	0	0	0	7.14	-0.89	-0.7	-0.55	13.1	-0.8	-1.3	8.1	-1.6	-0.7
Neurotoxicity Syndromes	MESH:D020258	0	0	2	1	1	3	4	4	0	3	4	1	0	0	0	0	-12.5	-4.6	-3.8	-8.3	-1.8	7.6	-4.4	7.6	-5.7	2.1	0	-3.3
Hypertriglyceridemia	MESH:D015228	2	0	6	4	2	1	1	2	0	3	1	2	0	0	22.2	0	4.4	4.9	1.8	3	-5.9	5.6	0	3.2	-1.3	-2.5	0	0
Hodgkin Disease	MESH:D006689	2	2	1	1	2	0	0	7	1	4	3	2	3	0	0	14.2	23.3	-4.2	3	-9.1	0	22.8	7.8	-1.3	1.1	-0.5	-5.5	0
Hepatomegaly	MESH:D006529	0	0	1	2	0	1	1	1	2	3	2	1	1	1	0	0	-1.6	-2.8	0	-1.2	-1	-1	7	12.4	0.8	-1.3	-1.3	-7.6
Glomerulonephritis	MESH:D005921	2	0	1	8	3	5	0	3	1	1	2	2	0	0	-13.3	0	-3.4	4.8	8	-2.2	0	8.8	2.4	-1.4	-2.6	-2.2	0	0
Attention Deficit Disorder with Hyperactivity	MESH:D001289	1	1	3	5	2	1	2	3	2	1	1	3	1	1	-5	13.3	-11.1	20.6	-5.3	-8.1	2.1	-4.3	6.1	2.7	6.3	-4.4	-1.3	-1.2
Amphetamine-Related Disorders	MESH:D019969	0	1	5	4	1	1	1	2	0	2	1	2	1	1	0	0	0	11.1	-0.6	-0.5	-0.48	7.78	0	-5.3	-0.5	-0.8	-0.4	6.3
Pruritus	MESH:D011537	1	1	2	3	2	3	1	2	3	0	4	2	1	0	0	0	22.2	11.1	2.4	5.4	-7.8	1.7	4.1	0	-5.8	11.5	-1.5	0
Liver Diseases	MESH:D008107	0	3	3	3	1	2	1	2	2	1	0	1	1	0	0	-1.6	-7.2	5.6	-1.8	-3.2	-1.4	-2.4	-2.1	-0.9	0	2.5	-0.9	-3.3
Hypothermia	MESH:D007035	2	1	2	6	1	2	4	2	0	1	0	1	0	0	10	-0.91	13.91	8.5	-1.5	10.9	-10.2	-2.2	0	-1	0	2.5	0	0
Hallucinations	MESH:D006212	1	1	4	6	1	5	6	1	1	0	1	1	0	0	0	-25	-12.5	-26.8	4.3	5	20.3	-2.4	-5.8	-3.6	-1.8	1.6	0	0
Brain Edema	MESH:D001929	0	2	3	1	5	3	3	3	1	3	0	1	1	0	0	0	0	0	33.3	5.5	-5.5	-4.2	-1.1	4.1	0	2.3	5.6	-3.4
Pulmonary Disease, Chronic Obstructive	MESH:D029424	0	3	1	0	4	2	2	4	0	2	0	0	1	0	0	-9.3	-9.3	0	6.3	2.3	1.8	-1.1	0	-2.2	-3.5	0	-0.9	0
Streptococcal Infections	MESH:D013290	0	1	1	2	2	4	3	3	2	2	0	3	0	1	0	13.3	-4.8	4.8	12.1	7.9	13.3	14.3	-2.7	1.8	0	5.7	0	0.5
Paralysis	MESH:D010243	1	0	4	1	3	2	4	5	0	2	1	1	2	0	25	0	-12.5	-1.4	5.5	19.1	-8	7	0	1.3	-1.4	-1.3	1.1	0
Cell Transformation, Neoplastic	MESH:D002471	1	0	2	2	0	1	2	1	2	1	0	1	1	0	-2.5	0	6.9	-4.4	0	-2	-3.3	-1.4	-2.6	-1.1	0	-1.1	-1	0
Arthritis	MESH:D001168	0	2	1	4	3	3	4	2	2	1	0	1	0	0	0	-4.1	-1.4	27.3	5.3	3.6	0.5	-3.8	-3.3	-1.5	0	-1.3	0	0
Urinary Bladder, Overactive	MESH:D053201	0	0	2	3	3	3	1	1	2	0	3	0	2	1	0	0	-6.3	2.8	8.3	5.5	-2	3.2	-8.2	0	-3.8	0	-2.1	-0.9
Neurobehavioral Manifestations	MESH:D019954	0	1	3	5	0	1	2	1	1	2	2	0	0	2	0	0	8.33	-2.45	0	-0.33	-0.55	-0.24	4.33	7.51	2.6	0	0	-1.4
Spasm	MESH:D013035	1	3	2	7	1	2	1	2	3	0	0	1	0	0	0	0	0	11.1	4.6	-1.5	8.5	6.4	4.2	0	0	-4.8	0	-3.5
Respiratory Tract Infections	MESH:D012141	0	2	3	4	1	7	2	0	3	2	1	0	1	0	0	0	14.2	13	-2.2	17.1	5.5	-9.6	7.8	8	1.7	0	-2	0
Hyperemia	MESH:D006940	0	1	4	3	2	3	2	4	1	2	0	0	0	1	0	0	20	-4.7	-2	8.9	-2.2	-3.4	7.4	1.9	0	0	0	-0.9
Coronary Disease	MESH:D003327			5	4	2	3	1	2	4	1	0	0	0	0			4.5	-7.9	-5.5	-1.1	-6.7	-2.9	-0.8	6.1	0	0	0	0
Cholestasis	MESH:D002779	1	1	0	3	3	2	3	2	1	0	2	1	0	2	-1.7	-1.4	0	13.9	1.6	-9	7.4	6.8	-1.4	0	5.6	-1.4	0	4.6
Meningitis, Bacterial	MESH:D016920	0	2	2	0	2	4	2	4	3	2	2	2	0	0	0	75	-8.4	-50	-4.1	29.1	1.2	12.7	-3.2	-0.2	3.9	-0.5	0	-3.7
Panic Disorder	MESH:D016584	0	1	4	5	1	6	2	1	1	1	0	0	0	1	0	20	35.5	15.9	-4.8	0	-10.1	-2.4	-2.1	5.6	0	0	0	-2.1
Bacteremia	MESH:D016470	1	3	2	1	2	5	0	2	1	2	0	3	0	1	75	-25	-25	-4.6	0.7	9.4	0	9.5	1.6	-1.4	0	4	0	1.1
Urticaria	MESH:D014581	1	3	1	2	3	3	3	3	1	1	2	0	0	0	0	50	-5.6	-8.1	-7.8	18.5	8	-2.9	6.2	-2.3	-0.5	0	0	0
Stomach Diseases	MESH:D013272	0	0	2	3	1	4	1	2	1	2	0	1	1	0	0	0	-4.1	-10.96	-7.14	0	5	4.09	-0.4	-0.69	0	-0.31	-0.29	0
Parkinson Disease, Secondary	MESH:D010302	1	2	1	2	1	2	3	3	1	0	2	2	1	0	-4.8	-6.3	-2.2	-3.4	6.4	3.6	12.2	8.8	2.4	0	0	-3.9	-1.7	0
Osteoporosis	MESH:D010024	0	1	2	1	0	3	1	1	1	3	1	2	3	1	0	-3.5	-5	-1.9	0	10.4	11.5	3.7	3.3	3	-2.4	0.2	6	-5.7
Head and Neck Neoplasms	MESH:D006258	0	2	0	1	1	1	0	6	3	0	4	2	1	0	0	25	0	-2.8	17.8	-3.7	0	-1.1	4.8	0	1.6	0.7	-1.6	0
Epilepsy, Tonic-Clonic	MESH:D004830	1	0	1	5	2	4	5	1	2	0	0	1	0	2	0	0	0	0	0	25	13	2.9	4.9	0	0	-1.8	0	4.1
Cardiomyopathy, Dilated	MESH:D002311	0	1	2	5	4	2	1	2	2	2	1	0	0	0	0	-6.7	16.7	-11.6	-9	-3.1	-1.3	6.8	-6.8	5.7	-1.1	0	0	0
Ulcer	MESH:D014456	1	1	2	2	2	1	1	3	1	3	2	0	0	1	0	0	0	16.6	-2.4	-0.9	5.4	-3	-0.7	6.7	-1.7	0	0	-0.8
Sleep Wake Disorders	MESH:D012893	0	2	4	5	1	5	1	2	1	0	1	1	0	0	0	0	66.6	-16.6	-3.4	3.4	2.3	8.5	-2.5	0	1.7	-2.4	-3.8	0
Precancerous Conditions	MESH:D011230	1	1	6	2	0	3	2	1	0	1	1	3	1	0	0	0	25	3.5	0	-5	-2.5	-6	0	-5.48	8.58	1.9	-0.8	0
Neovascularization, Pathologic	MESH:D009389	2	0	0	1	3	0	0	3	2	2	6	1	2	1	0	0	0	0	0	0	0	0	0	0	18.1	3.6	-1.7	6.9
Mesothelioma	MESH:D008654	1	1	4	1	1	0	1	3	3	1	4	0	1	1	0	0	10	17.2	-2.2	0	-2	-4.3	12.8	-6.5	12.5	0	-1.5	6.3
Malaria	MESH:D008288	1	2	2	3	0	0	6	3	1	2	2	1	0	0	-16.6	-16.7	-8.3	20.4	0	0	25.1	4.5	1.1	2.1	-6.2	-2.8	0	0
Hyperinsulinism	MESH:D006946	0	0	2	3	1	0	3	0	1	3	3	2	0	0	0	0	-10	-9.3	-2.2	0	-5	0	4.2	15.1	-5.3	-2.9	0	0
Haemophilus Infections	MESH:D006192	0	4	2	2	2	4	3	1	1	2	0	1	0	0	0	12.5	-7.5	11.6	-13.1	-0.8	8	5.2	4.7	0.4	0	0.1	0	0
Diabetic Neuropathies	MESH:D003929	0	0	3	2	2	3	5	0	1	1	2	0	0	0	0	0	15.8	-5	-3.6	8	2.4	0	-1.4	7.1	-2.9	0	-3.9	0
Diabetes Mellitus	MESH:D003920	1	1	6	1	2	3	2	2	1	1	0	0	1	0	0	0	30.7	-9.3	3.6	-4	2.8	2.2	11.5	2.5	0	0	-1.6	0
Colitis, Ulcerative	MESH:D003093	1	2	1	3	2	3	3	3	0	1	3	2	0	0	0	0	0	0	9.09	-1.95	-1.26	19.12	0	-1.2	-3	13.8	0	0
Carcinoma, Renal Cell	MESH:D002292			3	1	2	0	1	4	1	4	4	3	1	0			40	-6.7	-8.3	0	-2.8	8.5	-2.2	4.8	7.6	3.1	-1.7	0
Lung Injury	MESH:D055370	1	1	1	0	2	2	2	2	2	0	1	0	3	0	-2.8	-2.2	-1.9	0	-2.8	18	-3.9	2.1	6.5	0	-1.7	0	-4.3	0
Postoperative Nausea and Vomiting	MESH:D020250	0	0	2	3	1	2	8	1	3	1	0	0	1	0	0	0	0	0	0	0	42.1	-2.1	3.4	-1.8	0	0	2.4	0
Ventricular Dysfunction	MESH:D018754	0	1	4	1	3	0	5	1	3	1	3	1	0	0	0	0	14.2	-1.7	-3.41	0	28.41	-2.3	-5.2	8	-4.7	6.7	0	0
Pneumonia, Bacterial	MESH:D018410	0	2	1	0	3	4	0	2	1	3	1	2	0	0	0	41.7	-8.4	0	0	2.1	0	3.5	1.4	3.6	1	1.8	-4	0
Leukemia, Promyelocytic, Acute	MESH:D015473	1	1	0	1	2	1	1	3	2	2	2	1	2	0	0	0	0	0	9.09	15.91	-2	8.2	-3.5	2.3	-7.3	-1	6.3	0
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	MESH:D015464	1	2	1	1	1	1	0	5	1	6	1	0	2	1	0	0	0	0	0	22.2	0	13.5	-2.4	9.5	-6.5	0	5.3	6.4
Skin Diseases	MESH:D012871			7	1	2	0	3	5	2	0	2	0	1	0			0	0	0	0	13.3	6.7	2.7	0	-1.9	0	-0.8	0
Osteomyelitis	MESH:D010019	0	2	1	1	4	3	2	3	1	4	0	1	0	0	-33.3	80	-13.4	-9.5	-20.8	13.7	6.2	12.2	-13.4	11.6	0	1.4	0	-4
Ocular Hypertension	MESH:D009798			1	2	6	1	1	2	3	0	3	3	1	0			33.3	6.7	-3.7	5.3	-3.2	8.2	8.9	0	1.6	-7.1	6	0
Neuroblastoma	MESH:D009447	0	2	0	3	1	0	1	6	0	4	2	0	4	0	0	0	0	0	0	0	0	13.3	0	18.2	-3	0	-4.5	0
Nephrotic Syndrome	MESH:D009404	1	1	0	4	3	0	0	4	2	2	3	0	1	1	0	0	0	11.1	22.2	-8.3	0	6.2	2.1	1.7	-0.3	-4.3	-5.4	-5
Lupus Erythematosus, Systemic	MESH:D008180	1	0	2	3	3	0	1	4	2	2	1	2	1	0	50	-25	-8.4	16.7	0	-8.3	13.4	8.6	-4.9	-4.1	-6.2	-2.7	-1.1	0
Leukemia, Lymphoid	MESH:D007945	0	3	0	3	2	1	0	4	0	2	1	3	4	0	0	10	-20	-15	5	-2.8	0	-7.2	0	15.2	-1.9	14.3	0.4	0
Encephalomyelitis, Autoimmune, Experimental	MESH:D004681	1	0	0	2	1	5	1	4	3	0	2	0	1	0	16.6	0	0	-4.1	-1.4	24.6	-9.1	4.9	-4.3	0	-2.2	0	-1	0
Brain Neoplasms	MESH:D001932	0	3	1	3	2	1	1	3	1	2	2	0	1	0	0	0	0	0	21.4	-1.4	11.2	5.6	8.2	9.5	-8.7	0	-1.8	0
Arthritis, Experimental	MESH:D001169	0	1	0	4	0	4	1	1	4	1	1	1	1	0	0	-4.8	0	-10.4	0	8.5	-1.6	-1.5	-4.5	-0.9	-0.8	-0.7	-0.6	0
Alcoholism	MESH:D000437	1	0	4	4	0	2	1	1	0	4	1	3	0	1	0	0	25	-8.4	0	11.9	-1.9	-1.6	0	5	8	-0.5	0	-1.5
Glucose Intolerance	MESH:D018149	0	0	2	4	1	1	2	1	0	1	2	0	1	1	0	0	-7.5	-8.6	11.9	-2.1	-3.5	-6.7	0	9	-2.8	0	-1.2	-1
Low Back Pain	MESH:D017116	1	2	1	6	3	1	2	3	0	1	1	0	0	0	0	33.3	-4.8	25.3	-3.8	2.9	4.9	-3.3	0	-2.4	2	0	0	0
Malaria, Falciparum	MESH:D016778	1	1	2	2	1	1	6	2	0	0	2	1	0	0	16.6	-2.4	-3.1	16.1	-2.2	-2	13.8	6	0	0	5	-2	0	0
Tuberculosis	MESH:D014376	5	2	1	1	1	1	0	1	4	3	0	0	2	1	0	0	0	0	16.6	14.1	0	5	3.1	4	0	0	-3.7	-1.6
Tachycardia, Supraventricular	MESH:D013617	0	3	5	0	0	2	3	4	3	1	0	0	1	0	0	0	50	0	0	0	-10	-8.5	18.5	2.1	-4.3	0	-2	0
Hypotension, Orthostatic	MESH:D007024	2	1	1	1	3	3	2	2	0	3	0	1	1	0	-25	-7.2	19.7	-18.1	-11.1	-6.7	14.5	-4.3	0	4.1	0	-1.8	2.5	0
Hypertension, Renal	MESH:D006977	1	5	2	5	2	0	1	0	3	1	1	0	1	0	0	25	-5	-6.7	4.3	0	-1	0	11.9	3.3	-1.4	0	-1.3	0
Carcinoma, Transitional Cell	MESH:D002295			1	2	3	2	1	8	2	0	0	2	0	0			0	0	11.1	-2.01	7.51	3.4	7.2	0	-4.5	-1.9	0	0
Basal Ganglia Diseases	MESH:D001480	0	0	2	4	3	2	6	2	0	0	0	0	2	1	0	0	0	25	11.3	-5.6	11.4	-4.1	0	0	0	0	-3.3	6.9
Cardiotoxicity	MESH:D066126	1	0	2	0	1	3	0	2	0	2	1	2	1	0	-4.2	0	-6.1	0	-2.2	-5	0	-2.4	0	13.9	-1.5	6.3	-1.6	-4.3
Endometrial Neoplasms	MESH:D016889	1	2	4	2	2	1	1	3	1	2	0	0	1	0	0	0	30	-5	-3.6	-1.4	5	6.5	-1.5	6.3	0	-4.5	2.9	0
Abdominal Pain	MESH:D015746			4	2	4	2	2	1	2	2	1	0	1	0			33.3	4.2	-12.5	-3.6	9.8	-1.8	2.1	6.5	-1.7	0	-1.6	0
Schizophrenia, Paranoid	MESH:D012563	1	0	2	6	1	6	3	0	0	0	0	2	0	0	0	0	40	-3.7	-3	27.8	0.8	0	0	0	0	3.3	0	0
Recurrence	MESH:D012008		2	0	1	0	2	4	6	1	4	0	0	1	0		0	0	0	0	42.8	20.8	-22.5	-2.3	6.6	0	0	-10.7	-4.3
Hypertrophy	MESH:D006984	1	1	2	3	2	1	0	2	1	2	3	0	0	0	0	14.2	-3.1	-2.77	-1.19	-0.48	0	-0.78	5.22	8.9	6	-4.3	0	0
Gastrointestinal Diseases	MESH:D005767	2	0	3	4	0	4	3	0	0	2	0	2	1	0	0	0	0	0	0	0	11.1	-5.55	0	-0.55	-5	0	0	0
Dyspnea	MESH:D004417			1	3	2	5	2	3	1	1	0	0	1	1			0	0	22.2	-8	4.5	33.9	-2.6	2.3	0	0	-2.3	2.1
Duodenal Ulcer	MESH:D004381	0	1	4	4	1	2	3	0	1	2	1	1	0	0	0	0	50	0	-3.9	-6.1	-6.7	0	-1.8	-3	-1.3	-1.2	0	0
Delirium	MESH:D003693		1	2	5	1	3	3	1	2	1	1	0	1	0		0	0	20	-1.9	17.6	-0.5	-1.9	6.7	-6.7	-1.5	0	-1.4	0
Cough	MESH:D003371	0	0	5	4	1	1	2	2	2	1	0	0	0	0	0	0	0	-2.9	-10.5	-2.9	6.3	5	-5	2.1	0	0	0	0
Anorexia	MESH:D000855	1	0	1	3	2	2	3	0	2	2	2	0	0	0	0	0	0	10	6.6	19.1	5.4	0	-4.3	-3.5	1.4	0	0	0
COVID-19	MESH:C000657245	0	1	1	0	0	1	1	1	1	0	4	4	3	1	0	0	0	0	0	0	0	20	-1.9	0	21.9	-3.2	4.1	-1.8
Ventricular Premature Complexes	MESH:D018879			3	3	0	1	5	4	2	0	0	0	1	1			40	-2.5	0	29.1	-2.4	-8.7	-5.5	0	0	0	-2.4	-2.2
Leukemia, Lymphocytic, Chronic, B-Cell	MESH:D015451	2	2	1	0	2	2	0	3	0	1	2	1	4	0	0	50	-7.2	0	1.6	1	0	-9.7	0	4.3	-4.8	-1.9	3	0
Vascular Diseases	MESH:D014652	0	1	1	2	0	1	3	4	2	3	1	1	0	0	0	75	-15	-17.2	0	19.7	-17.1	-12.1	13.7	3	-2.4	-2.2	0	0
Stress Disorders, Post-Traumatic	MESH:D013313				6	1	7	1	2	0	0	1	0	0	0				50	-4.6	15.7	-8.5	-5	-4.8	0	-1.9	0	0	0
Sinusitis	MESH:D012852				2	4	3	1	0	1	1	1	1	0	0				15	-11.5	-5	9.8	0	-1.8	-6.5	8.3	3	0	0
Pseudomonas Infections	MESH:D011552	0	2	1	0	3	4	0	2	2	1	1	1	0	1	0	8.3	-11.9	0	-31.4	24.2	0	4.5	-2.1	-3.5	-3.1	6.6	0	1.5
Peptic Ulcer	MESH:D010437	0	1	6	1	0	2	2	2	1	4	0	0	0	0	0	0	30	6.3	0	-5.6	-4.1	2.8	-1.7	4.1	0	0	0	0
Obsessive-Compulsive Disorder	MESH:D009771			4	2	1	5	2	2	0	1	0	1	1	1			50	-37.5	9.7	27.8	-12.5	-4.2	0	-1.8	0	3.5	-1.7	7.6
Glaucoma	MESH:D005901		0	1	2	8	1	1	3	1	0	2	1	0	0		0	0	0	38.4	11.6	-3.4	14.5	7.3	0	-1.8	-3	0	0
Fasciculation	MESH:D005207	1	0	2	2	2	2	2	3	2	1	1	2	0	0	0	0	0	0	0	0	7.69	11.01	-2.1	4.4	9	6.3	0	0
Endomyocardial Fibrosis	MESH:D004719	0	0	2	1	1	0	0	2	3	1	3	3	0	1	0	0	0	0	0	0	0	0	21.4	-1.4	2.2	-3.2	0	-0.9
Cystic Fibrosis	MESH:D003550			0	1	2	3	0	4	1	4	1	2	1	0			0	0	0	22.2	0	-6.9	13.2	-6.3	-1.2	-2	-0.9	0
Chest Pain	MESH:D002637			3	6	1	4	2	1	2	0	0	1	0	0			40	-21.9	-1.5	2.1	-2.1	9.7	2.2	0	0	-1.3	0	0
Brain Diseases	MESH:D001927	0	0	3	1	1	4	3	4	0	0	1	1	2	0	0	0	0	0	0	18.1	3.3	23	0	0	2.9	-2.3	-4.1	0
Acne Vulgaris	MESH:D000152		1	3	1	3	5	1	2	1	0	1	0	1	0		0	28.5	9	-10.3	16.5	9.2	4.9	2.2	0	-2.9	0	-2.6	0
Mood Disorders	MESH:D019964	0	0	6	4	1	3	2	2	0	0	0	1	0	0	0	0	12.5	12.5	-2	8.2	-9	7.8	0	0	-5	-1.2	0	0
Rhabdomyosarcoma	MESH:D012208		1	0	2	1	1	0	6	1	2	0	1	4	0		0	0	0	0	0	0	15.3	-1.1	-1.7	0	11	5	0
Respiratory Insufficiency	MESH:D012131	2	1	0	3	1	2	2	1	4	0	1	0	0	0	0	0	0	0	0	15.3	-2	5.4	1.3	0	-1	0	0	0
Peritonitis	MESH:D010538	1	1	2	1	3	5	0	2	0	1	0	2	0	1	0	0	0	0	0	26.6	0	14.5	-11.7	3.9	-5.6	-2.7	0	3.5
Kidney Tubular Necrosis, Acute	MESH:D007683	1	0	1	1	3	2	0	3	1	1	1	1	0	0	0	0	0	0	16.6	-9.46	0	10.46	-1	-0.9	-0.7	-0.8	0	0
Kidney Failure, Chronic	MESH:D007676	0	1	2	3	1	2	1	1	3	1	2	2	0	0	0	0	0	0	0	9.09	15.91	-2	-4.3	10.7	7.4	-3.5	0	0
Hepatitis C	MESH:D006526	0	0	2	3	1	1	1	1	0	0	3	7	0	0	0	0	25	-10.8	10.8	-2.8	-2.2	-1.9	0	-9.01	5.11	14.3	-4.7	0
Heart Arrest	MESH:D006323			2	1	3	4	2	4	2	0	0	0	0	0			0	0	22.2	-6.9	4.7	6.3	7	0	0	0	0	0
Eosinophilia	MESH:D004802	1	1	3	1	3	5	0	0	1	1	0	0	1	0	0	0	0	0	23	10.3	0	0	-1.8	-1.5	-5	0	-1.2	0
Crohn Disease	MESH:D003424			2	1	2	4	0	4	0	0	2	2	1	0			0	0	12.5	4.1	0	8.4	0	0	-2.8	7.8	3.3	0
Uterine Cervical Neoplasms	MESH:D002583	1	2	1	1	0	0	0	6	1	2	1	0	1	0	0	0	0	0	0	0	0	25	4.4	17.9	-2.3	-5	-2	0
Hypoxia	MESH:D000860	2	2	2	1	2	0	2	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angioedema	MESH:D000799	1	2	1	2	4	1	2	4	1	0	1	0	0	0	0	40	-6.7	-8.3	16.6	4.5	-6.1	-3.2	-1.8	0	-1.7	0	0	0
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054218	1	1	0	2	2	2	1	3	0	1	1	1	1	1	0	0	0	28.5	4.8	21.2	3.8	-11.7	0	-2.9	-8.5	-1.9	8.8	-2.1
