disease_name	disease_id	953_cmpds	1049_cmpds	1150_cmpds	1250_cmpds	1350_cmpds	1450_cmpds	1550_cmpds	1650_cmpds	1750_cmpds	1852_cmpds	1950_cmpds	2050_cmpds	2150_cmpds	2250_cmpds	2294_cmpds	953_top10	1049_top10	1150_top10	1250_top10	1350_top10	1450_top10	1550_top10	1650_top10	1750_top10	1852_top10	1950_top10	2050_top10	2150_top10	2250_top10	2294_top10
Colitis	MESH:D003092	14	14	15	18	22	23	25	27	29	30	30	33	35	38	39	7.14	7.14	6.66	5.55	9.09	17.3	8	7.4	13.7	13.3	13.3	18.1	14.2	18.4	15.3
Coronary Artery Disease	MESH:D003324	3	4	9	14	18	22	24	26	29	34	36	37	38	38	38	0	0	33.3	42.8	44.4	54.5	50	42.3	48.2	47	52.7	51.3	50	47.3	47.3
HIV Infections	MESH:D015658	5	5	6	8	9	12	13	16	20	22	27	33	35	37	37	0	0	0	25	22.2	41.6	38.4	37.5	50	50	40.7	45.4	48.5	45.9	45.9
Skin Neoplasms	MESH:D012878	13	14	17	19	21	21	21	22	23	25	27	32	34	37	37	46.1	42.8	35.2	31.5	28.5	28.5	28.5	31.8	26	36	33.3	28.1	29.4	32.4	32.4
Shock, Septic	MESH:D012772	5	6	6	10	14	17	21	27	28	31	32	33	35	36	37	20	16.6	16.6	20	21.4	11.7	23.8	22.2	17.8	22.5	21.8	21.2	25.7	25	27
Peripheral Nervous System Diseases	MESH:D010523	8	9	13	19	22	24	24	28	28	30	32	33	34	37	37	12.5	11.1	23	52.6	40.9	41.6	37.5	32.1	32.1	30	28.1	27.2	26.4	21.6	21.6
Nervous System Diseases	MESH:D009422	9	10	11	18	20	23	25	28	28	31	32	34	36	37	37	22.2	20	18.1	11.1	20	21.7	28	28.5	25	22.5	21.8	20.5	25	24.3	24.3
Pulmonary Fibrosis	MESH:D011658	7	8	8	8	9	12	14	16	23	26	29	33	35	36	36	0	0	0	0	0	8.33	28.5	31.2	34.7	34.6	48.2	39.3	37.1	38.8	38.8
Osteoarthritis	MESH:D010003	10	11	14	18	23	25	29	31	32	33	34	34	36	36	36	60	63.6	64.2	72.2	73.9	76	72.4	80.6	78.1	75.7	76.4	76.4	75	72.2	72.2
Lymphoma, Non-Hodgkin	MESH:D008228		3	7	8	10	12	13	14	23	24	28	31	31	36	36		0	0	25	20	25	15.3	28.5	43.4	50	53.5	61.2	61.2	61.1	61.1
Erectile Dysfunction	MESH:D007172	4	5	7	12	17	17	19	21	23	26	31	33	34	36	36	0	0	0	0	0	0	10.5	19	26	23	25.8	36.3	32.3	41.6	41.6
Sepsis	MESH:D018805	9	9	12	14	16	19	23	23	26	30	31	31	35	35	35	44.4	44.4	66.6	64.2	56.2	63.1	56.5	56.5	57.6	56.6	61.2	61.2	62.8	62.8	57.1
Hypokinesia	MESH:D018476	9	9	11	13	19	20	21	25	27	27	29	30	32	35	35	44.4	44.4	45.4	30.7	42.1	40	38	32	40.7	40.7	41.3	43.3	50	45.7	45.7
Nausea	MESH:D009325		3	4	7	8	10	13	19	24	30	33	33	33	34	35		0	0	0	0	20	30.7	57.8	45.8	56.6	48.4	48.4	48.4	47	45.7
Muscular Diseases	MESH:D009135	2	4	5	10	14	16	18	22	26	28	29	30	32	34	35	0	0	0	0	0	12.5	22.2	27.2	38.4	42.8	41.3	40	34.3	29.4	31.4
Lymphoma	MESH:D008223	2	2	4	5	6	7	9	10	20	21	23	30	31	34	34	0	0	0	0	33.3	28.5	22.2	20	40	38	43.4	43.3	41.9	44.1	44.1
Liver Neoplasms, Experimental	MESH:D008114	10	11	12	17	19	19	19	22	23	25	28	30	32	33	34	20	18.1	16.6	29.4	26.3	26.3	26.3	31.8	30.4	28	35.7	33.3	34.3	33.3	32.3
Cystitis	MESH:D003556	10	10	12	15	18	21	26	26	30	32	33	33	34	34	34	0	0	0	6.66	16.6	23.8	26.9	26.9	26.6	31.2	36.3	36.3	38.2	35.2	32.3
Acute Lung Injury	MESH:D055371	12	13	13	15	16	18	22	22	24	24	26	30	32	33	33	41.6	38.4	38.4	40	37.5	33.3	40.9	40.9	41.6	41.6	53.8	46.6	43.7	45.4	45.4
Dyslipidemias	MESH:D050171	10	11	11	14	17	20	22	23	27	28	30	31	33	33	33	20	36.3	36.3	50	41.1	45	45.4	43.4	44.4	42.8	53.3	51.6	48.4	48.4	48.4
Psychoses, Substance-Induced	MESH:D011605	5	6	7	10	14	15	22	26	26	28	28	30	32	32	33	0	33.3	42.8	30	21.4	20	45.4	53.8	53.8	53.5	53.5	53.3	56.2	56.2	54.5
Catatonia	MESH:D002389	4	4	4	7	13	14	19	21	24	24	26	28	29	33	33	0	0	0	0	15.3	28.5	47.3	38	41.6	37.5	42.3	50	51.7	45.4	45.4
Dyskinesias	MESH:D020820	3	4	5	6	14	16	17	22	24	25	27	27	28	31	32	0	0	0	0	0	0	11.7	13.6	20.8	16	14.8	11.1	10.7	9.67	9.37
Glomerulosclerosis, Focal Segmental	MESH:D005923	3	3	3	4	12	14	15	17	22	26	28	30	31	31	32	0	0	0	0	0	0	13.3	17.6	22.7	19.2	28.5	36.6	35.4	35.4	34.3
Escherichia coli Infections	MESH:D004927	6	7	8	9	10	13	15	16	19	21	24	28	31	31	32	66.6	57.1	75	77.7	70	69.2	66.6	62.5	73.6	76.1	75	75	74.1	74.1	75
Autistic Disorder	MESH:D001321	4	4	5	9	12	14	16	18	20	22	23	25	29	31	32	0	0	0	0	0	7.14	6.25	5.55	5	18.1	17.3	16	24.1	22.5	21.8
Neurotoxicity Syndromes	MESH:D020258	8	8	8	10	11	12	15	19	23	23	26	30	31	31	31	62.5	62.5	62.5	50	45.4	41.6	33.3	31.5	39.1	34.7	42.3	36.6	38.7	38.7	35.4
Hypertriglyceridemia	MESH:D015228	7	9	9	15	19	21	22	23	25	25	28	29	31	31	31	0	22.2	22.2	26.6	31.5	33.3	36.3	30.4	36	36	39.2	37.9	35.4	35.4	35.4
Hodgkin Disease	MESH:D006689	3	5	7	8	9	11	11	11	18	19	23	26	28	31	31	0	0	14.2	37.5	33.3	36.3	27.2	27.2	50	57.8	56.5	57.6	57.1	51.6	51.6
Hepatomegaly	MESH:D006529	15	15	15	16	18	18	19	20	21	23	26	28	29	30	31	26.6	26.6	26.6	25	22.2	22.2	21	20	19	26	38.4	39.2	37.9	36.6	29
Glomerulonephritis	MESH:D005921	3	5	5	6	14	17	22	22	25	26	27	29	31	31	31	33.3	20	20	16.6	21.4	29.4	27.2	27.2	36	38.4	37	34.4	32.2	32.2	32.2
Attention Deficit Disorder with Hyperactivity	MESH:D001289	4	5	6	9	14	16	17	19	22	24	25	26	29	30	31	25	20	33.3	22.2	42.8	37.5	29.4	31.5	27.2	33.3	36	42.3	37.9	36.6	35.4
Amphetamine-Related Disorders	MESH:D019969	8	8	9	14	18	19	20	21	23	23	25	26	28	29	30	0	0	0	0	11.1	10.5	10	9.52	17.3	17.3	12	11.5	10.7	10.3	16.6
Pruritus	MESH:D011537	5	6	7	9	12	14	17	18	20	23	23	27	29	30	30	0	0	0	22.2	33.3	35.7	41.1	33.3	35	39.1	39.1	33.3	44.8	43.3	43.3
Liver Diseases	MESH:D008107	10	10	13	16	19	20	22	23	25	27	28	28	29	30	30	40	40	38.4	31.2	36.8	35	31.8	30.4	28	25.9	25	25	27.5	26.6	23.3
Hypothermia	MESH:D007035	8	10	11	13	19	20	22	26	28	28	29	29	30	30	30	0	10	9.09	23	31.5	30	40.9	30.7	28.5	28.5	27.5	27.5	30	30	30
Hallucinations	MESH:D006212	2	3	4	8	14	15	20	26	27	28	28	29	30	30	30	100	100	75	62.5	35.7	40	45	65.3	62.9	57.1	53.5	51.7	53.3	53.3	53.3
Brain Edema	MESH:D001929	4	4	6	9	10	15	18	21	24	25	28	28	29	30	30	0	0	0	0	0	33.3	38.8	33.3	29.1	28	32.1	32.1	34.4	40	36.6
Pulmonary Disease, Chronic Obstructive	MESH:D029424	10	10	13	14	14	18	20	22	26	26	28	28	28	29	29	40	40	30.7	21.4	21.4	27.7	30	31.8	30.7	30.7	28.5	25	25	24.1	24.1
Streptococcal Infections	MESH:D013290	5	5	6	7	9	11	15	18	21	23	25	25	28	28	29	20	20	33.3	28.5	33.3	45.4	53.3	66.6	80.9	78.2	80	80	85.7	85.7	86.2
Paralysis	MESH:D010243	3	4	4	8	9	12	14	18	23	23	25	26	27	29	29	0	25	25	12.5	11.1	16.6	35.7	27.7	34.7	34.7	36	34.6	33.3	34.4	34.4
Cell Transformation, Neoplastic	MESH:D002471	15	16	16	18	20	20	21	23	24	26	27	27	28	29	29	40	37.5	37.5	44.4	40	40	38	34.7	33.3	30.7	29.6	29.6	28.5	27.5	27.5
Arthritis	MESH:D001168	6	6	8	9	13	16	19	23	25	27	28	28	29	29	29	16.6	16.6	12.5	11.1	38.4	43.7	47.3	47.8	44	40.7	39.2	39.2	37.9	37.9	37.9
Urinary Bladder, Overactive	MESH:D053201	7	7	7	9	12	15	18	19	20	22	22	25	25	27	28	28.5	28.5	28.5	22.2	25	33.3	38.8	36.8	40	31.8	31.8	28	28	25.9	25
Neurobehavioral Manifestations	MESH:D019954	8	8	9	12	17	17	18	20	21	22	24	26	26	26	28	0	0	0	8.33	5.88	5.88	5.55	5	4.76	9.09	16.6	19.2	19.2	19.2	17.8
Spasm	MESH:D013035	5	6	9	11	18	19	21	22	24	27	27	27	28	28	28	0	0	0	0	11.1	15.7	14.2	22.7	29.1	33.3	33.3	33.3	28.5	28.5	25
Respiratory Tract Infections	MESH:D012141	2	2	4	7	11	12	19	21	21	24	26	27	27	28	28	0	0	0	14.2	27.2	25	42.1	47.6	38	45.8	53.8	55.5	55.5	53.5	53.5
Hyperemia	MESH:D006940	5	5	6	10	13	15	18	20	24	25	27	27	27	27	28	0	0	0	20	15.3	13.3	22.2	20	16.6	24	25.9	25.9	25.9	25.9	25
Coronary Disease	MESH:D003327			6	11	15	17	20	21	23	27	28	28	28	28	28			50	54.5	46.6	41.1	40	33.3	30.4	29.6	35.7	35.7	35.7	35.7	35.7
Cholestasis	MESH:D002779	7	8	9	9	12	15	17	20	22	23	23	25	26	26	28	14.2	12.5	11.1	11.1	25	26.6	17.6	25	31.8	30.4	30.4	36	34.6	34.6	39.2
Meningitis, Bacterial	MESH:D016920	2	2	4	6	6	8	12	14	18	21	23	25	27	27	27	0	0	75	66.6	16.6	12.5	41.6	42.8	55.5	52.3	52.1	56	55.5	55.5	51.8
Panic Disorder	MESH:D016584	4	4	5	9	14	15	21	23	24	25	26	26	26	26	27	0	0	20	55.5	71.4	66.6	66.6	56.5	54.1	52	57.6	57.6	57.6	57.6	55.5
Bacteremia	MESH:D016470	4	5	8	10	11	13	18	18	20	21	23	23	26	26	27	25	100	75	50	45.4	46.1	55.5	55.5	65	66.6	65.2	65.2	69.2	69.2	70.3
Urticaria	MESH:D014581	4	5	8	9	11	14	17	20	23	24	25	27	27	27	27	0	0	50	44.4	36.3	28.5	47	55	52.1	58.3	56	55.5	55.5	55.5	55.5
Stomach Diseases	MESH:D013272	9	9	9	11	14	15	19	20	22	23	25	25	26	27	27	22.2	22.2	22.2	18.1	7.14	0	0	5	9.09	8.69	8	8	7.69	7.4	7.4
Parkinson Disease, Secondary	MESH:D010302	6	7	9	10	12	13	15	18	21	22	22	24	26	27	27	33.3	28.5	22.2	20	16.6	23	26.6	38.8	47.6	50	50	50	46.1	44.4	44.4
Osteoporosis	MESH:D010024	7	7	8	10	11	11	14	15	16	17	20	21	23	26	27	28.5	28.5	25	20	18.1	18.1	28.5	40	43.7	47	50	47.6	47.8	53.8	48.1
Head and Neck Neoplasms	MESH:D006258	6	6	8	8	9	10	11	11	17	20	20	24	26	27	27	0	0	25	25	22.2	40	36.3	36.3	35.2	40	40	41.6	42.3	40.7	40.7
Epilepsy, Tonic-Clonic	MESH:D004830	3	4	4	5	10	12	16	21	22	24	24	24	25	25	27	0	0	0	0	0	0	25	38	40.9	45.8	45.8	45.8	44	44	48.1
Cardiomyopathy, Dilated	MESH:D002311	5	5	6	8	13	17	19	20	22	24	26	27	27	27	27	40	40	33.3	50	38.4	29.4	26.3	25	31.8	25	30.7	29.6	29.6	29.6	29.6
Ulcer	MESH:D014456	6	7	8	10	12	14	15	16	19	20	23	25	25	25	26	0	0	0	0	16.6	14.2	13.3	18.7	15.7	15	21.7	20	20	20	19.2
Sleep Wake Disorders	MESH:D012893	3	3	5	9	14	15	20	21	23	24	24	25	26	26	26	0	0	0	66.6	50	46.6	50	52.3	60.8	58.3	58.3	60	57.6	53.8	53.8
Precancerous Conditions	MESH:D011230	4	5	6	12	14	14	17	19	20	20	21	22	25	26	26	0	0	0	25	28.5	28.5	23.5	21	15	15	9.52	18.1	20	19.2	19.2
Neovascularization, Pathologic	MESH:D009389	3	5	5	5	6	9	9	9	12	14	16	22	23	25	26	0	0	0	0	0	0	0	0	0	0	0	18.1	21.7	20	26.9
Mesothelioma	MESH:D008654	4	5	6	10	11	12	12	13	16	19	20	24	24	25	26	0	0	0	10	27.2	25	25	23	18.7	31.5	25	37.5	37.5	36	42.3
Malaria	MESH:D008288	3	4	6	8	11	11	11	17	20	21	23	25	26	26	26	66.6	50	33.3	25	45.4	45.4	45.4	70.5	75	76.1	78.2	72	69.2	69.2	69.2
Hyperinsulinism	MESH:D006946	8	8	8	10	13	14	14	17	17	18	21	24	26	26	26	50	50	50	40	30.7	28.5	28.5	23.5	23.5	27.7	42.8	37.5	34.6	34.6	34.6
Haemophilus Infections	MESH:D006192	4	4	8	10	12	14	18	21	22	23	25	25	26	26	26	75	75	87.5	80	91.6	78.5	77.7	85.7	90.9	95.6	96	96	96.1	96.1	96.1
Diabetic Neuropathies	MESH:D003929	7	7	7	10	12	14	17	22	22	23	24	26	26	26	26	14.2	14.2	14.2	30	25	21.4	29.4	31.8	31.8	30.4	37.5	34.6	34.6	30.7	30.7
Diabetes Mellitus	MESH:D003920	5	6	7	13	14	16	19	21	23	24	25	25	25	26	26	0	0	0	30.7	21.4	25	21	23.8	26	37.5	40	40	40	38.4	38.4
Colitis, Ulcerative	MESH:D003093	2	3	5	6	9	11	14	17	20	20	21	24	26	26	26	0	0	0	0	0	9.09	7.14	5.88	25	25	23.8	20.8	34.6	34.6	34.6
Carcinoma, Renal Cell	MESH:D002292			2	5	6	8	8	9	13	14	18	22	25	26	26			0	40	33.3	25	25	22.2	30.7	28.5	33.3	40.9	44	42.3	42.3
Lung Injury	MESH:D055370	8	9	10	11	11	13	15	17	19	21	21	22	22	25	25	25	22.2	20	18.1	18.1	15.3	33.3	29.4	31.5	38	38	36.3	36.3	32	32
Postoperative Nausea and Vomiting	MESH:D020250	3	3	3	5	8	9	11	19	20	23	24	24	24	25	25	0	0	0	0	0	0	0	42.1	40	43.4	41.6	41.6	41.6	44	44
Ventricular Dysfunction	MESH:D018754	2	2	3	7	8	11	11	16	17	20	21	24	25	25	25	0	0	0	14.2	12.5	9.09	9.09	37.5	35.2	30	38	33.3	40	40	40
Pneumonia, Bacterial	MESH:D018410	6	6	8	9	9	12	16	16	18	19	22	23	25	25	25	33.3	33.3	75	66.6	66.6	66.6	68.7	68.7	72.2	73.6	77.2	78.2	80	76	76
Leukemia, Promyelocytic, Acute	MESH:D015473	6	7	8	8	9	11	12	13	16	18	20	22	23	25	25	0	0	0	0	0	9.09	25	23	31.2	27.7	30	22.7	21.7	28	28
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	MESH:D015464	2	3	5	6	7	8	9	9	14	15	21	22	22	24	25	0	0	0	0	0	0	22.2	22.2	35.7	33.3	42.8	36.3	36.3	41.6	48
Skin Diseases	MESH:D012871			2	9	10	12	12	15	20	22	22	24	24	25	25			0	0	0	0	0	13.3	20	22.7	22.7	20.8	20.8	20	20
Osteomyelitis	MESH:D010019	3	3	5	6	7	11	14	16	19	20	24	24	25	25	25	33.3	0	80	66.6	57.1	36.3	50	56.2	68.4	55	66.6	66.6	68	68	64
Ocular Hypertension	MESH:D009798			2	3	5	11	12	13	15	18	18	21	24	25	25			0	33.3	40	36.3	41.6	38.4	46.6	55.5	55.5	57.1	50	56	56
Neuroblastoma	MESH:D009447	2	2	4	4	7	8	8	9	15	15	19	21	21	25	25	0	0	0	0	0	0	0	0	13.3	13.3	31.5	28.5	28.5	24	24
Nephrotic Syndrome	MESH:D009404	3	4	5	5	9	12	12	12	16	18	20	23	23	24	25	0	0	0	0	11.1	33.3	25	25	31.2	33.3	35	34.7	30.4	25	20
Lupus Erythematosus, Systemic	MESH:D008180	3	4	4	6	9	12	12	13	17	19	21	22	24	25	25	0	50	25	16.6	33.3	33.3	25	38.4	47	42.1	38	31.8	29.1	28	28
Leukemia, Lymphoid	MESH:D007945	2	2	5	5	8	10	11	11	15	15	17	18	21	25	25	50	50	60	40	25	30	27.2	27.2	20	20	35.2	33.3	47.6	48	48
Encephalomyelitis, Autoimmune, Experimental	MESH:D004681	5	6	6	6	8	9	14	15	19	22	22	24	24	25	25	0	16.6	16.6	16.6	12.5	11.1	35.7	26.6	31.5	27.2	27.2	25	25	24	24
Brain Neoplasms	MESH:D001932	5	5	8	9	12	14	15	16	19	20	22	24	24	25	25	0	0	0	0	0	21.4	20	31.2	36.8	45	54.5	45.8	45.8	44	44
Arthritis, Experimental	MESH:D001169	6	6	7	7	11	11	15	16	17	21	22	23	24	25	25	33.3	33.3	28.5	28.5	18.1	18.1	26.6	25	23.5	19	18.1	17.3	16.6	16	16
Alcoholism	MESH:D000437	3	4	4	8	12	12	14	15	16	16	20	21	24	24	25	0	0	0	25	16.6	16.6	28.5	26.6	25	25	30	38	37.5	37.5	36
Glucose Intolerance	MESH:D018149	8	8	8	10	14	15	16	18	19	19	20	22	22	23	24	37.5	37.5	37.5	30	21.4	33.3	31.2	27.7	21	21	30	27.2	27.2	26	25
Low Back Pain	MESH:D017116	3	4	6	7	13	16	17	19	22	22	23	24	24	24	24	0	0	33.3	28.5	53.8	50	52.9	57.8	54.5	54.5	52.1	54.1	54.1	54.1	54.1
Malaria, Falciparum	MESH:D016778	5	6	7	9	11	12	13	19	21	21	21	23	24	24	24	0	16.6	14.2	11.1	27.2	25	23	36.8	42.8	42.8	42.8	47.8	45.8	45.8	45.8
Tuberculosis	MESH:D014376	2	7	9	10	11	12	13	13	14	18	21	21	21	23	24	0	0	0	0	0	16.6	30.7	30.7	35.7	38.8	42.8	42.8	42.8	39.1	37.5
Tachycardia, Supraventricular	MESH:D013617	2	2	5	10	10	10	12	15	19	22	23	23	23	24	24	0	0	0	50	50	50	50	40	31.5	50	52.1	47.8	47.8	45.8	45.8
Hypotension, Orthostatic	MESH:D007024	4	6	7	8	9	12	15	17	19	19	22	22	23	24	24	75	50	42.8	62.5	44.4	33.3	26.6	41.1	36.8	36.8	40.9	40.9	39.1	41.6	41.6
Hypertension, Renal	MESH:D006977	2	3	8	10	15	17	17	18	18	21	22	23	23	24	24	0	0	25	20	13.3	17.6	17.6	16.6	16.6	28.5	31.8	30.4	30.4	29.1	29.1
Carcinoma, Transitional Cell	MESH:D002295			3	4	6	9	11	12	20	22	22	22	24	24	24			0	0	0	11.1	9.09	16.6	20	27.2	27.2	22.7	20.8	20.8	20.8
Basal Ganglia Diseases	MESH:D001480	2	2	2	4	8	11	13	19	21	21	21	21	21	23	24	0	0	0	0	25	36.3	30.7	42.1	38	38	38	38	38	34.7	41.6
Cardiotoxicity	MESH:D066126	8	9	9	11	11	12	15	15	17	17	19	20	22	23	23	37.5	33.3	33.3	27.2	27.2	25	20	20	17.6	17.6	31.5	30	36.3	34.7	30.4
Endometrial Neoplasms	MESH:D016889	3	4	6	10	12	14	15	16	19	20	22	22	22	23	23	0	0	0	30	25	21.4	20	25	31.5	30	36.3	36.3	31.8	34.7	34.7
Abdominal Pain	MESH:D015746			2	6	8	12	14	16	17	19	21	22	22	23	23			0	33.3	37.5	25	21.4	31.2	29.4	31.5	38	36.3	36.3	34.7	34.7
Schizophrenia, Paranoid	MESH:D012563	2	3	3	5	11	12	18	21	21	21	21	21	23	23	23	0	0	0	40	36.3	33.3	61.1	61.9	61.9	61.9	61.9	61.9	65.2	65.2	65.2
Recurrence	MESH:D012008		2	4	4	5	5	7	11	17	18	22	22	22	23	23		0	0	0	0	0	42.8	63.6	41.1	38.8	45.4	45.4	45.4	34.7	30.4
Hypertrophy	MESH:D006984	5	6	7	9	12	14	15	15	17	18	20	23	23	23	23	0	0	14.2	11.1	8.33	7.14	6.66	6.66	5.88	11.1	20	26	21.7	21.7	21.7
Gastrointestinal Diseases	MESH:D005767	2	4	4	7	11	11	15	18	18	18	20	20	22	23	23	0	0	0	0	0	0	0	11.1	5.55	5.55	5	0	0	0	0
Dyspnea	MESH:D004417			3	4	7	9	14	16	19	20	21	21	21	22	23			0	0	0	22.2	14.2	18.7	52.6	50	52.3	52.3	52.3	50	52.1
Duodenal Ulcer	MESH:D004381	3	3	4	8	12	13	15	18	18	19	21	22	23	23	23	0	0	0	50	50	46.1	40	33.3	33.3	31.5	28.5	27.2	26	26	26
Delirium	MESH:D003693		2	3	5	10	11	14	17	18	20	21	22	22	23	23		0	0	0	20	18.1	35.7	35.2	33.3	40	33.3	31.8	31.8	30.4	30.4
Cough	MESH:D003371	5	5	5	10	14	15	16	18	20	22	23	23	23	23	23	60	60	60	60	57.1	46.6	43.7	50	55	50	52.1	52.1	52.1	52.1	52.1
Anorexia	MESH:D000855	5	6	6	7	10	12	14	17	17	19	21	23	23	23	23	0	0	0	0	10	16.6	35.7	41.1	41.1	36.8	33.3	34.7	34.7	34.7	34.7
COVID-19	MESH:C000657245	5	5	6	7	7	7	8	9	10	11	11	15	19	22	23	0	0	0	0	0	0	0	0	20	18.1	18.1	40	36.8	40.9	39.1
Ventricular Premature Complexes	MESH:D018879			2	5	8	8	9	14	18	20	20	20	20	21	22			0	40	37.5	37.5	66.6	64.2	55.5	50	50	50	50	47.6	45.4
Leukemia, Lymphocytic, Chronic, B-Cell	MESH:D015451	2	4	6	7	7	9	11	11	14	14	15	17	18	22	22	0	0	50	42.8	42.8	44.4	45.4	45.4	35.7	35.7	40	35.2	33.3	36.3	36.3
Vascular Diseases	MESH:D014652	3	3	4	5	7	7	8	11	15	17	20	21	22	22	22	0	0	75	60	42.8	42.8	62.5	45.4	33.3	47	50	47.6	45.4	45.4	45.4
Stress Disorders, Post-Traumatic	MESH:D013313				4	10	11	18	19	21	21	21	22	22	22	22				0	50	45.4	61.1	52.6	47.6	42.8	42.8	40.9	40.9	40.9	40.9
Sinusitis	MESH:D012852				8	10	14	17	18	18	19	20	21	22	22	22				25	40	28.5	23.5	33.3	33.3	31.5	25	33.3	36.3	36.3	36.3
Pseudomonas Infections	MESH:D011552	4	4	6	7	7	10	14	14	16	18	19	20	21	21	22	75	75	83.3	71.4	71.4	40	64.2	64.2	68.7	66.6	63.1	60	66.6	66.6	68.1
Peptic Ulcer	MESH:D010437	3	3	4	10	11	11	13	15	17	18	22	22	22	22	22	0	0	0	30	36.3	36.3	30.7	26.6	29.4	27.7	31.8	31.8	31.8	31.8	31.8
Obsessive-Compulsive Disorder	MESH:D009771			2	6	8	9	14	16	18	18	19	19	20	21	22			0	50	12.5	22.2	50	37.5	33.3	33.3	31.5	31.5	35	33.3	40.9
Glaucoma	MESH:D005901		2	2	3	5	13	14	15	18	19	19	21	22	22	22		0	0	0	0	38.4	50	46.6	61.1	68.4	68.4	66.6	63.6	63.6	63.6
Fasciculation	MESH:D005207	2	3	3	5	7	9	11	13	16	18	19	20	22	22	22	0	0	0	0	0	0	0	7.69	18.7	16.6	21	30	36.3	36.3	36.3
Endomyocardial Fibrosis	MESH:D004719	5	5	5	7	8	9	9	9	11	14	15	18	21	21	22	0	0	0	0	0	0	0	0	0	21.4	20	22.2	19	19	18.1
Cystic Fibrosis	MESH:D003550			3	3	4	6	9	9	13	14	18	19	21	22	22			0	0	0	0	22.2	22.2	15.3	28.5	22.2	21	19	18.1	18.1
Chest Pain	MESH:D002637			2	5	11	12	16	18	19	21	21	21	22	22	22			0	40	18.1	16.6	18.7	16.6	26.3	28.5	28.5	28.5	27.2	27.2	27.2
Brain Diseases	MESH:D001927	2	2	2	5	6	7	11	14	18	18	18	19	20	22	22	0	0	0	0	0	0	18.1	21.4	44.4	44.4	44.4	47.3	45	40.9	40.9
Acne Vulgaris	MESH:D000152		3	4	7	8	11	16	17	19	20	20	21	21	22	22		0	0	28.5	37.5	27.2	43.7	52.9	57.8	60	60	57.1	57.1	54.5	54.5
Mood Disorders	MESH:D019964	2	2	2	8	12	13	16	18	20	20	20	20	21	21	21	0	0	0	12.5	25	23	31.2	22.2	30	30	30	25	23.8	23.8	23.8
Rhabdomyosarcoma	MESH:D012208		2	3	3	5	6	7	7	13	14	16	16	17	21	21		0	0	0	0	0	0	0	15.3	14.2	12.5	12.5	23.5	28.5	28.5
Respiratory Insufficiency	MESH:D012131	4	6	7	7	10	11	13	15	16	20	20	21	21	21	21	0	0	0	0	0	0	15.3	13.3	18.7	20	20	19	19	19	19
Peritonitis	MESH:D010538	2	3	4	6	7	10	15	15	17	17	18	18	20	20	21	0	0	0	0	0	0	26.6	26.6	41.1	29.4	33.3	27.7	25	25	28.5
Kidney Tubular Necrosis, Acute	MESH:D007683	6	7	7	8	9	12	14	14	17	18	19	20	21	21	21	0	0	0	0	0	16.6	7.14	7.14	17.6	16.6	15.7	15	14.2	14.2	14.2
Kidney Failure, Chronic	MESH:D007676	2	2	3	5	8	9	11	12	13	16	17	19	21	21	21	0	0	0	0	0	0	9.09	25	23	18.7	29.4	36.8	33.3	33.3	33.3
Hepatitis C	MESH:D006526	2	2	2	4	7	8	9	10	11	11	11	14	21	21	21	0	0	0	25	14.2	25	22.2	20	18.1	18.1	9.09	14.2	28.5	23.8	23.8
Heart Arrest	MESH:D006323			3	5	6	9	13	15	19	21	21	21	21	21	21			0	0	0	22.2	15.3	20	26.3	33.3	33.3	33.3	33.3	33.3	33.3
Eosinophilia	MESH:D004802	4	5	6	9	10	13	18	18	18	19	20	20	20	21	21	0	0	0	0	0	23	33.3	33.3	33.3	31.5	30	25	25	23.8	23.8
Crohn Disease	MESH:D003424			3	5	6	8	12	12	16	16	16	18	20	21	21			0	0	0	12.5	16.6	16.6	25	25	25	22.2	30	33.3	33.3
Uterine Cervical Neoplasms	MESH:D002583	5	6	8	9	10	10	10	10	16	17	19	20	20	21	21	0	0	0	0	0	0	0	0	25	29.4	47.3	45	40	38	38
Hypoxia	MESH:D000860	5	7	9	11	12	14	14	16	17	19	19	20	20	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angioedema	MESH:D000799	2	3	5	6	8	12	13	15	19	20	20	21	21	21	21	0	0	40	33.3	25	41.6	46.1	40	36.8	35	35	33.3	33.3	33.3	33.3
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054218	3	4	5	5	7	9	11	12	15	15	16	17	18	19	20	0	0	0	0	28.5	33.3	54.5	58.3	46.6	46.6	43.7	35.2	33.3	42.1	40
Diabetes Complications	MESH:D048909	5	5	6	8	9	10	13	14	16	16	16	17	18	20	20	20	20	16.6	25	22.2	20	15.3	14.2	12.5	12.5	12.5	11.7	11.1	10	10
Vasospasm, Intracranial	MESH:D020301	2	3	5	8	8	10	10	12	13	15	17	18	19	20	20	0	0	0	0	0	0	0	0	0	13.3	23.5	22.2	21	30	30
Muscle Weakness	MESH:D018908				4	6	7	10	12	15	15	17	18	19	20	20				0	0	0	30	25	20	20	17.6	16.6	15.7	15	15
Community-Acquired Infections	MESH:D017714	2	2	4	7	7	9	13	14	15	16	19	20	20	20	20	0	0	25	42.8	42.8	55.5	53.8	42.8	46.6	50	57.8	60	60	55	55
